utr_number,bank_amount,bank_date,narration
UTR870547537220,12120.44,2026-09-22 07:05:45,CMS/Razorpay/Settlement/ORD-2026001/MeeraJoshi
UTR416219307451,9791.93,2026-09-19 06:05:45,CMS/Razorpay/Settlement/ORD-2026002/SnehaRao
UTR876106849334,10181.23,2026-09-18 19:05:45,CMS/Razorpay/Settlement/ORD-2026003/SnehaRao
UTR941173741950,8835.18,2026-09-16 18:05:45,CMS/Razorpay/Settlement/ORD-2026004/AaravSharma
UTR102495700910,7546.75,2026-09-18 13:05:45,CMS/Razorpay/Settlement/ORD-2026005/KavyaNair
UTR240660717524,2721.3,2026-09-16 23:05:45,CMS/Razorpay/Settlement/ORD-2026006/AnanyaIyer
UTR870840947751,5310.9,2026-09-15 20:05:45,CMS/Razorpay/Settlement/ORD-2026007/MeeraJoshi
UTR400439989662,2507.11,2026-09-14 03:05:45,CMS/Razorpay/Settlement/ORD-2026008/AaravSharma
UTR562740576331,14351.32,2026-09-16 22:05:45,CMS/Razorpay/Settlement/ORD-2026009/KavyaNair
UTR817673379377,3020.1,2026-09-12 09:05:45,CMS/Razorpay/Settlement/ORD-2026010/KavyaNair
UTR212269968563,14775.74,2026-09-10 09:05:45,CMS/Razorpay/Settlement/ORD-2026011/MeeraJoshi
UTR856863768073,1319.07,2026-09-17 17:05:45,CMS/Razorpay/Settlement/ORD-2026012/AdityaVerma
UTR634748931352,14653.97,2026-09-23 01:05:45,CMS/Razorpay/Settlement/ORD-2026013/AaravSharma
UTR862709605125,7309.17,2026-09-09 09:05:45,CMS/Razorpay/Settlement/ORD-2026014/PriyaPatel
UTR648151448744,18450.2,2026-09-15 10:05:45,CMS/Razorpay/Settlement/ORD-2026015/KavyaNair
UTR305401628772,9027.89,2026-09-09 08:05:45,CMS/Razorpay/Settlement/ORD-2026016/RajeshGupta
UTR202036574251,13218.09,2026-09-23 02:05:45,CMS/Razorpay/Settlement/ORD-2026017/SnehaRao
UTR392115310876,2044.57,2026-09-06 08:05:45,CMS/Razorpay/Settlement/ORD-2026018/MeeraJoshi
UTR951443853009,1657.91,2026-09-20 16:05:45,CMS/Razorpay/Settlement/ORD-2026019/AaravSharma
UTR451626941610,17044.82,2026-09-16 14:05:45,CMS/Razorpay/Settlement/ORD-2026020/AdityaVerma
UTR832012061400,2579.37,2026-09-06 22:05:45,CMS/Razorpay/Settlement/ORD-2026021/AnanyaIyer
UTR293096411386,12057.26,2026-09-11 09:05:45,CMS/Razorpay/Settlement/ORD-2026022/AaravSharma
UTR174275130771,10624.96,2026-09-12 07:05:45,CMS/Razorpay/Settlement/ORD-2026023/MeeraJoshi
UTR829349231090,5406.32,2026-09-20 03:05:45,CMS/Razorpay/Settlement/ORD-2026024/VikramSingh
UTR433073432183,17057.76,2026-09-12 20:05:45,CMS/Razorpay/Settlement/ORD-2026025/AnanyaIyer
UTR369606949115,17984.45,2026-09-10 04:05:45,CMS/Razorpay/Settlement/ORD-2026026/RajeshGupta
UTR797285893020,14752.8,2026-09-06 21:05:45,CMS/Razorpay/Settlement/ORD-2026027/SnehaRao
UTR324747807142,1116.6,2026-09-14 00:05:45,CMS/Razorpay/Settlement/ORD-2026028/KavyaNair
UTR921767646128,8151.63,2026-09-22 13:05:45,CMS/Razorpay/Settlement/ORD-2026029/SnehaRao
UTR359062289748,14728.4,2026-09-08 13:05:45,CMS/Razorpay/Settlement/ORD-2026030/AnanyaIyer
UTR151879749723,2990.4,2026-09-12 14:05:45,CMS/Razorpay/Settlement/ORD-2026031/VikramSingh
UTR553876210484,6076.57,2026-09-13 16:05:45,CMS/Razorpay/Settlement/ORD-2026032/SnehaRao
UTR839571048286,16070.94,2026-09-08 07:05:45,CMS/Razorpay/Settlement/ORD-2026033/VikramSingh
UTR930525783344,17804.06,2026-09-15 18:05:45,CMS/Razorpay/Settlement/ORD-2026034/VikramSingh
UTR459191695618,1719.06,2026-09-15 15:05:45,CMS/Razorpay/Settlement/ORD-2026035/PriyaPatel
UTR126212545980,8428.44,2026-09-23 01:05:45,RZP_SETTLE_NET_MDR_GST_ORD-2026036
UTR360882085056,4511.22,2026-09-17 01:05:45,RZP_SETTLE_NET_MDR_GST_ORD-2026037
UTR228309109129,3020.59,2026-09-11 23:05:45,RZP_SETTLE_NET_MDR_GST_ORD-2026038
UTR705563343371,10203.58,2026-09-10 00:05:45,RZP_SETTLE_NET_MDR_GST_ORD-2026039
UTR575635617405,18520.06,2026-09-24 00:05:45,RZP_SETTLE_NET_MDR_GST_ORD-2026040
UTR657938180244,6650.31,2026-09-18 23:05:45,RZP_SETTLE_NET_MDR_GST_ORD-2026041
UTR146360264584,10441.28,2026-09-06 15:05:45,RZP_SETTLE_NET_MDR_GST_ORD-2026042
UTR600724063491,18656.92,2026-09-20 04:05:45,RZP_SETTLE_NET_MDR_GST_ORD-2026043
UTR190617208791,9094.85,2026-09-09 22:05:45,RZP_SETTLE_NET_MDR_GST_ORD-2026044
UTR688399127287,4586.21,2026-09-09 17:05:45,RZP_SETTLE_NET_MDR_GST_ORD-2026045
UTR157013715722,5924.17,2026-09-18 10:05:45,UPI/TXN/KAVYA/DIRECT_TRANSFER_NO_REF
UTR850240657313,9710.25,2026-09-23 14:05:45,UPI/TXN/SNEHA/DIRECT_TRANSFER_NO_REF
UTR756094831339,4989.05,2026-09-14 07:05:45,UPI/TXN/PRIYA/DIRECT_TRANSFER_NO_REF
UTR332393972933,6682.82,2026-09-20 07:05:45,UPI/TXN/ROHAN/DIRECT_TRANSFER_NO_REF
UTR830424875057,1836.5,2026-09-12 19:05:45,UPI/TXN/RAJESH/DIRECT_TRANSFER_NO_REF
UTR975550481796,7507.02,2026-09-24 04:05:45,UPI/TXN/KAVYA/DIRECT_TRANSFER_NO_REF
UTR816053927453,18910.35,2026-09-16 02:05:45,UPI/TXN/RAJESH/DIRECT_TRANSFER_NO_REF
UTR_BATCH_614678,42056.67,2026-09-16 16:05:45,RZP_AGGREGATE_BATCH_SETTLE:[ORD-2026053+ORD-2026054+ORD-2026055]
UTR_BATCH_248091,22751.67,2026-09-19 16:05:45,RZP_AGGREGATE_BATCH_SETTLE:[ORD-2026056+ORD-2026057+ORD-2026058]
UTR_UNKNOWN_00001,12606.6,2026-09-11 16:05:45,NEFT_UNKNOWN_COUNTERPARTY_PAYMENT_SLOT_1
UTR_UNKNOWN_00002,3487.77,2026-09-24 16:05:45,NEFT_UNKNOWN_COUNTERPARTY_PAYMENT_SLOT_2
UTR_UNKNOWN_00003,14563.69,2026-09-24 16:05:45,NEFT_UNKNOWN_COUNTERPARTY_PAYMENT_SLOT_3
