order_id,invoice_id,customer_name,ledger_amount,ledger_date,ledger_status
ORD-2026001,INV-1001,Meera Joshi,12120.44,2026-09-21 08:05:45,COMPLETED
ORD-2026002,INV-1002,Sneha Rao,9791.93,2026-09-19 04:05:45,COMPLETED
ORD-2026003,INV-1003,Sneha Rao,10181.23,2026-09-18 05:05:45,COMPLETED
ORD-2026004,INV-1004,Aarav Sharma,8835.18,2026-09-16 04:05:45,COMPLETED
ORD-2026005,INV-1005,Kavya Nair,7546.75,2026-09-18 02:05:45,COMPLETED
ORD-2026006,INV-1006,Ananya Iyer,2721.3,2026-09-16 05:05:45,COMPLETED
ORD-2026007,INV-1007,Meera Joshi,5310.9,2026-09-15 05:05:45,COMPLETED
ORD-2026008,INV-1008,Aarav Sharma,2507.11,2026-09-13 05:05:45,COMPLETED
ORD-2026009,INV-1009,Kavya Nair,14351.32,2026-09-16 06:05:45,COMPLETED
ORD-2026010,INV-1010,Kavya Nair,3020.1,2026-09-12 07:05:45,COMPLETED
ORD-2026011,INV-1011,Meera Joshi,14775.74,2026-09-10 02:05:45,COMPLETED
ORD-2026012,INV-1012,Aditya Verma,1319.07,2026-09-17 04:05:45,COMPLETED
ORD-2026013,INV-1013,Aarav Sharma,14653.97,2026-09-22 07:05:45,COMPLETED
ORD-2026014,INV-1014,Priya Patel,7309.17,2026-09-08 09:05:45,COMPLETED
ORD-2026015,INV-1015,Kavya Nair,18450.2,2026-09-15 01:05:45,COMPLETED
ORD-2026016,INV-1016,Rajesh Gupta,9027.89,2026-09-09 03:05:45,COMPLETED
ORD-2026017,INV-1017,Sneha Rao,13218.09,2026-09-22 09:05:45,COMPLETED
ORD-2026018,INV-1018,Meera Joshi,2044.57,2026-09-06 01:05:45,COMPLETED
ORD-2026019,INV-1019,Aarav Sharma,1657.91,2026-09-20 03:05:45,COMPLETED
ORD-2026020,INV-1020,Aditya Verma,17044.82,2026-09-16 10:05:45,COMPLETED
ORD-2026021,INV-1021,Ananya Iyer,2579.37,2026-09-06 10:05:45,COMPLETED
ORD-2026022,INV-1022,Aarav Sharma,12057.26,2026-09-11 07:05:45,COMPLETED
ORD-2026023,INV-1023,Meera Joshi,10624.96,2026-09-11 09:05:45,COMPLETED
ORD-2026024,INV-1024,Vikram Singh,5406.32,2026-09-19 10:05:45,COMPLETED
ORD-2026025,INV-1025,Ananya Iyer,17057.76,2026-09-12 01:05:45,COMPLETED
ORD-2026026,INV-1026,Rajesh Gupta,17984.45,2026-09-09 07:05:45,COMPLETED
ORD-2026027,INV-1027,Sneha Rao,14752.8,2026-09-06 08:05:45,COMPLETED
ORD-2026028,INV-1028,Kavya Nair,1116.6,2026-09-13 09:05:45,COMPLETED
ORD-2026029,INV-1029,Sneha Rao,8151.63,2026-09-22 07:05:45,COMPLETED
